New Acc. No.,Old Acc. Number,Acc.Name,Meter No.,Phone No.,Zone,Sub-Zone,Longitude,Latitude,Walkroute,Water,Sewer,Connection Status,Tarriff,Building Type,House Type,Hse. Units
9445,2100209445,,,,GITAMBAYA,GITAMBAYA,271762.2132,9872113.973,Unknown,,,,,,,
1016,2100201016,,,,GITAMBAYA,GITAMBAYA,271759.0837,9872131.261,Unknown,,,,,,,
19484,2100219484,,,,GITAMBAYA,GITAMBAYA,271751.8356,9872122.205,Unknown,,,,,,,
7999,2100207999,,,,GITAMBAYA,GITAMBAYA,271723.5143,9872158.739,Unknown,,,,,,,
250,2100200250,,,,GITAMBAYA,GITAMBAYA,271776.0897,9872245.157,Unknown,,,,,,,
9351,2100209351,,,,GITAMBAYA,GITAMBAYA,271781.3696,9872256.276,Unknown,,,,,,,
911,2100200911,,,,GITAMBAYA,GITAMBAYA,271543.9525,9872358.153,Unknown,,,,,,,
6252,2100206252,,,,GITAMBAYA,GITAMBAYA,271561.0517,9872394.388,Unknown,,,,,,,
13576,2100213576,,,,GITAMBAYA,GITAMBAYA,271606.197,9872492.782,Unknown,,,,,,,
1078,2100201078,,,,GITAMBAYA,GITAMBAYA,271624.7296,9872522.714,Unknown,,,,,,,
1079,2100201079,,,,GITAMBAYA,GITAMBAYA,271647.3006,9872509.808,Unknown,,,,,,,
1065,2100201065,,,,GITAMBAYA,GITAMBAYA,271672.1085,9872508.333,Unknown,,,,,,,
13262,2100213262,,,,GITAMBAYA,GITAMBAYA,271672.9314,9872499.116,Unknown,,,,,,,
785,2100200785,,,,GITAMBAYA,GITAMBAYA,271769.8783,9872367.939,Unknown,,,,,,,
17716,2100217716,,,,GITAMBAYA,GITAMBAYA,271729.7269,9872342.748,Unknown,,,,,,,
7214,2100207214,,,,GITAMBAYA,GITAMBAYA,271694.4527,9872346.833,Unknown,,,,,,,
11072,2100211072,,,,GITAMBAYA,GITAMBAYA,271806.4129,9872031.607,Unknown,,,,,,,
10576,2100210576,,,,GITAMBAYA,GITAMBAYA,271783.1546,9872019.977,Unknown,,,,,,,
10581,2100210581,,,,GITAMBAYA,GITAMBAYA,271799.6572,9872008.726,Unknown,,,,,,,
10583,2100210583,,,,GITAMBAYA,GITAMBAYA,271835.1106,9871987.663,Unknown,,,,,,,
9355,2100209355,,,,GITAMBAYA,GITAMBAYA,271861.1829,9872033.711,Unknown,,,,,,,
6765,2100206765,,,,GITAMBAYA,GITAMBAYA,271842.1762,9872043.965,Unknown,,,,,,,
13572,2100213572,,,,GITAMBAYA,GITAMBAYA,271895.267,9872007.431,Unknown,,,,,,,
10246,2100210246,,,,GITAMBAYA,GITAMBAYA,271935.6873,9871942.887,Unknown,,,,,,,
11321,2100211321,,,,GITAMBAYA,GITAMBAYA,271930.3768,9871948.45,Unknown,,,,,,,
275,2100200275,,,,GITAMBAYA,GITAMBAYA,271877.2344,9871953.555,Unknown,,,,,,,
7791,2100207791,,,,GITAMBAYA,GITAMBAYA,271991.3309,9871904.856,Unknown,,,,,,,
7225,2100207225,,,,GITAMBAYA,GITAMBAYA,272041.4909,9871905.23,Unknown,,,,,,,
13440,2100213440,,,,GITAMBAYA,GITAMBAYA,272059.7625,9871859.583,Unknown,,,,,,,
7997,2100207997,,,,GITAMBAYA,GITAMBAYA,272181.1606,9871809.107,Unknown,,,,,,,
7401,2100207401,,,,GITAMBAYA,GITAMBAYA,272203.9443,9871784.331,Unknown,,,,,,,
8014,2100208014,,,,GITAMBAYA,GITAMBAYA,272201.105,9871759.48,Unknown,,,,,,,
9418,2100209418,,,,GITAMBAYA,GITAMBAYA,272135.7737,9871660.61,Unknown,,,,,,,
16265,2100216265,,,,GITAMBAYA,GITAMBAYA,272123.137,9871662.721,Unknown,,,,,,,
902,2100200902,,,,GITAMBAYA,GITAMBAYA,272094.4126,9871694.283,Unknown,,,,,,,
904,2100200904,,,,GITAMBAYA,GITAMBAYA,272089.716,9871695.435,Unknown,,,,,,,
1094,2100201094,,,,GITAMBAYA,GITAMBAYA,272076.4082,9871701.84,Unknown,,,,,,,
