New Acc No,Old Acc No,Zone,Subzone,Longitude,Latitude
21077,2100221077,002 GITAMBAYA,GITAMBAYA,271976.0169,9871695.887
905,2100200905,002 GITAMBAYA,GITAMBAYA,272018.7888,9871740.343
18235,2100218235,002 GITAMBAYA,GITAMBAYA,272033.4702,9871733.109
16550,2100216550,002 GITAMBAYA,GITAMBAYA,272031.7886,9871723.762
10073,2100210073,002 GITAMBAYA,GITAMBAYA,271973.0671,9871772.384
8695,2100208695,002 GITAMBAYA,GITAMBAYA,271975.5373,9871768.792
11078,2100211078,002 GITAMBAYA,GITAMBAYA,271947.9324,9871789.786
20766,2100220766,002 GITAMBAYA,GITAMBAYA,271922.8583,9871800.312
18230,2100218230,002 GITAMBAYA,GITAMBAYA,271909.5484,9871783.896
720,2100200720,002 GITAMBAYA,GITAMBAYA,271850.007,9871785.991
9109,2100209109,002 GITAMBAYA,GITAMBAYA,271832.8544,9871877.644
9380,2100209380,002 GITAMBAYA,GITAMBAYA,271765.6873,9871851.37
21666,2100221666,002 GITAMBAYA,GITAMBAYA,271748.2761,9871861.772
882,2100200882,002 GITAMBAYA,GITAMBAYA,271668.827,9871939.597
11221,2100211221,002 GITAMBAYA,GITAMBAYA,271685.3993,9871934.761
2961,2100202961,002 GITAMBAYA,GITAMBAYA,271704.3729,9871919.088
1819,2100201819,002 GITAMBAYA,GITAMBAYA,271712.0218,9871912.697
20668,2100220668,002 GITAMBAYA,GITAMBAYA,271530.5969,9872379.195
22341,2100222341,002 GITAMBAYA,GITAMBAYA,271520.4417,9872387.686
13443,2100213443,002 GITAMBAYA,GITAMBAYA,271508.6864,9872402.166
19594,2100219594,002 GITAMBAYA,GITAMBAYA,271476.6026,9872407.433
888,2100200888,002 GITAMBAYA,GITAMBAYA,271514.8353,9872541.263
17579,2100217579,002 GITAMBAYA,GITAMBAYA,271523.0266,9872533.793
21881,2100221881,002 GITAMBAYA,GITAMBAYA,271529.4371,9872546.553
21771,2100221771,002 GITAMBAYA,GITAMBAYA,271535.4525,9872541.249
12046,2100212046,002 GITAMBAYA,GITAMBAYA,271501.7334,9872601.41
19884,2100219884,002 GITAMBAYA,GITAMBAYA,271506.1893,9872700.273
13889,2100213889,002 GITAMBAYA,GITAMBAYA,271495.6298,9872703.436
21490,2100221490,002 GITAMBAYA,GITAMBAYA,271449.826,9872720.473
21314,2100221314,002 GITAMBAYA,GITAMBAYA,271437.4566,9872711.874
20869,2100220869,002 GITAMBAYA,GITAMBAYA,271426.8155,9872725.175
21883,2100221883,002 GITAMBAYA,GITAMBAYA,271414.6684,9872717.074
21882,2100221882,002 GITAMBAYA,GITAMBAYA,271420.488,9872674.368
21538,2100221538,002 GITAMBAYA,GITAMBAYA,271428.4884,9872669.396
21885,2100221885,002 GITAMBAYA,GITAMBAYA,271447.6936,9872667.216
12327,2100212327,002 GITAMBAYA,GITAMBAYA,271465.7653,9872667.082
6456,2100206456,002 GITAMBAYA,GITAMBAYA,271464.713,9872659.837
21766,2100221766,002 GITAMBAYA,GITAMBAYA,271483.2538,9872652.477
21718,2100221718,002 GITAMBAYA,GITAMBAYA,271504.3314,9872626.464
6953,2100206953,002 GITAMBAYA,GITAMBAYA,271495.1574,9872591.351
22192,2100222192,002 GITAMBAYA,GITAMBAYA,271455.6712,9872590.723
6849,2100206849,002 GITAMBAYA,GITAMBAYA,271514.6015,9872767.728
23528,2100223528,002 GITAMBAYA,GITAMBAYA,271493.744,9872771.437
13064,2100213064,002 GITAMBAYA,GITAMBAYA,271439.7814,9872781.389
16968,2100216968,002 GITAMBAYA,GITAMBAYA,271589.1169,9872842.069
786,2100200786,002 GITAMBAYA,GITAMBAYA,271623.7209,9872789.743
6497,2100206497,002 GITAMBAYA,GITAMBAYA,271997.6137,9872595.611
7208,2100207208,002 GITAMBAYA,GITAMBAYA,271390.9057,9872067.86
913,2100200913,002 GITAMBAYA,GITAMBAYA,271457.3676,9872014.801
10609,2100210609,002 GITAMBAYA,GITAMBAYA,271444.3849,9872057.654
23592,2100223592,002 GITAMBAYA,GITAMBAYA,271525.2945,9872014.241
21357,2100221357,002 GITAMBAYA,GITAMBAYA,271560.3678,9872005.898
6458,2100206458,002 GITAMBAYA,GITAMBAYA,271535.1317,9871983.833
972,2100200972,002 GITAMBAYA,GITAMBAYA,271501.0801,9871964.877
6248,2100206248,002 GITAMBAYA,GITAMBAYA,271556.9556,9871952.235
285,2100200285,002 GITAMBAYA,GITAMBAYA,271571.6909,9871947.472
8880,2100208880,002 GITAMBAYA,GITAMBAYA,271619.643,9871910.215
16973,2100216973,002 GITAMBAYA,GITAMBAYA,271654.3109,9871872.248
896,2100200896,002 GITAMBAYA,GITAMBAYA,271641.7694,9871793.952
1080,2100201080,002 GITAMBAYA,GITAMBAYA,271593.6183,9871696.31
6257,2100206257,002 GITAMBAYA,GITAMBAYA,271576.1095,9871636.665
16563,2100216563,002 GITAMBAYA,GITAMBAYA,271541.6519,9871589.339
898,2100200898,002 GITAMBAYA,GITAMBAYA,271609.4582,9871550.272
11073,2100211073,002 GITAMBAYA,GITAMBAYA,271671.7115,9871543.921
891,2100200891,002 GITAMBAYA,GITAMBAYA,271678.403,9871527.335
